Program Name/Major,Academic Division/School,Degree Level,Graduation Date,Job Title,Employing Organization,Position Location - State
Theology,College of Arts and Sciences,Bachelor's,5/15/2023,Teaching Assistant,Minneapolis Public Schools,WI
Civil Engineering,School of Engineering,Bachelor's,5/15/2025,Business Intelligence Analyst,Accenture,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2019,HR Generalist,Wayzata Public Schools,MN
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2022,Physical Therapist,University of St. Thomas,CA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Systems Administrator,Accenture,ND
Computer Science,School of Engineering,Bachelor's,5/15/2024,Specialist,Cargill,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2019,Civil Engineer,3M,IL
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2020,Health Coach,Abbott Northwestern Hospital,CA
Computer Science,School of Engineering,Bachelor's,5/15/2020,Systems Administrator,Optum,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Talent Acquisition Specialist,Best Buy,FL
Psychology,College of Arts and Sciences,Bachelor's,5/15/2021,Legal Coordinator,Kraus-Anderson,WI
Computer Science,School of Engineering,Bachelor's,5/15/2019,Web Developer,Optum,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Data Scientist,Deloitte,IA
Journalism,College of Arts and Sciences,Bachelor's,5/15/2022,Civil Engineer,CenterPoint Energy,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2021,Analyst,Kraus-Anderson,SD
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Content Strategist,Deloitte,CA
Economics,College of Arts and Sciences,Bachelor's,5/15/2019,Procurement Specialist,Mortenson,OH
Human Resources Management,Opus College of Business,Bachelor's,5/15/2019,Construction Manager,KPMG,FL
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Marketing Coordinator,KPMG,NE
English,College of Arts and Sciences,Bachelor's,5/15/2020,Social Media Manager,EY,NY
Elementary Education (K-6),School of Education,Bachelor's,5/15/2023,Grant Writer,St. Paul Public Schools,SD
Social Work,School of Education,Bachelor's,5/15/2020,Tutor,Grant Thornton,TX
Accounting,Opus College of Business,Bachelor's,5/15/2020,Financial Analyst,Google,NE
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Brand Manager,Deloitte,CO
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Visual Designer,UnitedHealth Group,IL
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Systems Administrator,EY,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2021,Program Manager,Polaris,MN
Accounting,Opus College of Business,Bachelor's,5/15/2021,Benefits Analyst,McGough Construction,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2021,Property Manager,EY,MN
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2025,Grant Writer,University of St. Thomas,NE
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,HR Generalist,Boston Consulting Group,MN
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2022,Research Assistant,Sleep Number,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Policy Analyst,Medtronic,SD
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Project Manager,Abbott Northwestern Hospital,MN
Journalism,College of Arts and Sciences,Bachelor's,5/15/2020,IT Analyst,Wayzata Public Schools,SD
Operations Management,Opus College of Business,Bachelor's,5/15/2019,Policy Analyst,Ryan Companies,MN
Political Science,College of Arts and Sciences,Bachelor's,5/15/2024,Program Coordinator,EY,SD
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Lab Technician,Mortenson,CO
Computer Engineering,School of Engineering,Bachelor's,5/15/2020,Research Scientist,UnitedHealth Group,TX
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,Financial Analyst,Google,MN
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2022,Real Estate Analyst,3M,GA
Human Resources Management,Opus College of Business,Bachelor's,5/15/2020,Design Engineer,Medtronic,IA
Economics - Business,Opus College of Business,Bachelor's,5/15/2024,Construction Manager,General Mills,ND
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Tax Associate,Ameriprise Financial,FL
Social Work,School of Education,Bachelor's,5/15/2021,Real Estate Analyst,Osseo Area Schools,MN
Social Work,School of Education,Bachelor's,5/15/2023,Team Lead,CBRE Group,NY
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2019,Account Executive,Cargill,MN
Art History,College of Arts and Sciences,Bachelor's,5/15/2020,UX Designer,Target,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2020,Talent Acquisition Specialist,Grant Thornton,MA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Analytics Consultant,Toro Company,OH
Political Science,College of Arts and Sciences,Bachelor's,5/15/2024,Social Media Manager,Allianz,ND
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Tax Associate,General Mills,IL
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2019,Clinical Research Coordinator,Mayo Clinic,MN
Economics - Business,Opus College of Business,Bachelor's,5/15/2022,Data Analyst,Kraus-Anderson,WA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2020,Paralegal,Deloitte,IL
Human Resources Management,Opus College of Business,Bachelor's,5/15/2019,Account Executive,Donaldson Company,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Business Development Associate,AWS,OH
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2022,Quantitative Analyst,UnitedHealth Group,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2024,UX Designer,Optum,IL
Psychology,College of Arts and Sciences,Bachelor's,5/15/2021,Teacher,McGough Construction,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2025,Executive Assistant,Allianz,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Accountant,US Bank,ND
Civil Engineering,School of Engineering,Bachelor's,5/15/2021,Systems Administrator,Ameriprise Financial,ND
Computer Engineering,School of Engineering,Bachelor's,5/15/2025,Mechanical Engineer,Mortenson,GA
Operations Management,Opus College of Business,Bachelor's,5/15/2024,Auditor,Wells Fargo,NE
International Business,Opus College of Business,Bachelor's,5/15/2020,Sales Representative,EY,NY
Psychology,College of Arts and Sciences,Bachelor's,5/15/2024,Operations Manager,CBRE Group,ND
Computer Engineering,School of Engineering,Bachelor's,5/15/2020,Multimedia Specialist,Boston Consulting Group,CO
Human Resources Management,Opus College of Business,Bachelor's,5/15/2021,Underwriter,Deloitte,IA
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Financial Analyst,Deloitte,IL
Accounting,Opus College of Business,Bachelor's,5/15/2022,Social Worker,Deloitte,SD
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2025,Physical Therapist,Cargill,CO
Data Science,School of Engineering,Bachelor's,5/15/2024,Electrical Engineer,Xcel Energy,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Advisory Associate,Wayzata Public Schools,NE
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Accountant,General Mills,IL
Art History,College of Arts and Sciences,Bachelor's,5/15/2020,Design Engineer,Ryan Companies,WI
Strategic Comm: Ad and PR,College of Arts and Sciences,Bachelor's,5/15/2022,Sales Representative,Sleep Number,NE
Data Analytics,School of Engineering,Bachelor's,5/15/2022,Community Outreach Specialist,Target (Tech),WA
Data Science,School of Engineering,Bachelor's,5/15/2021,Real Estate Analyst,Allianz,MN
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2025,HR Generalist,Fastenal,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Research Scientist,Hennepin County,TX
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Operations Manager,Securian Financial,SD
History,College of Arts and Sciences,Bachelor's,5/15/2020,Electrical Engineer,Osseo Area Schools,ND
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2023,Creative Director,AmeriCorps,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Government Affairs Specialist,Honeywell,IA
Economics - Business,Opus College of Business,Bachelor's,5/15/2021,Assistant,PwC,NY
COJO Strategic Communications,College of Arts and Sciences,Bachelor's,5/15/2022,Analytics Consultant,Kraus-Anderson,FL
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2020,Tax Associate,Target,WA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2025,Operations Director,KPMG,MN
Civil Engineering,School of Engineering,Bachelor's,5/15/2019,Real Estate Associate,Honeywell,MA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2025,Office Coordinator,NextEra Energy,MN
Civil Engineering,School of Engineering,Bachelor's,5/15/2024,Software Engineer,AmeriCorps,TX
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2019,Strategy Analyst,EY,IA
Computer Engineering,School of Engineering,Bachelor's,5/15/2023,Sales Representative,Optum,FL
Political Science,College of Arts and Sciences,Bachelor's,5/15/2022,Contract Specialist,City of Minneapolis,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2021,Software Engineer,Hennepin County,CO
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Assistant Manager,Intel,NE
Biology,College of Arts and Sciences,Bachelor's,5/15/2024,Community Outreach Specialist,Land O'Lakes,FL
Accounting,Opus College of Business,Bachelor's,5/15/2025,Grant Writer,General Mills,CO
Electrical Engineering,School of Engineering,Bachelor's,5/15/2025,Social Worker,EY,NE
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2020,Associate,EY,GA
Computer Science,School of Engineering,Bachelor's,5/15/2019,Contract Specialist,Allianz,MN
Operations Management,Opus College of Business,Bachelor's,5/15/2023,Talent Acquisition Specialist,Google,MA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Analytics Consultant,Microsoft,OH
Accounting,Opus College of Business,Bachelor's,5/15/2025,Quantitative Analyst,Deloitte,IL
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2019,Real Estate Analyst,PwC,TX
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Auditor,CenterPoint Energy,NE
Civil Engineering,School of Engineering,Bachelor's,5/15/2020,Software Engineer,Optum,FL
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2022,HR Generalist,Land O'Lakes,TX
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2025,Business Development Associate,Boston Consulting Group,WA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2025,Public Administrator,EY,MN
Computer Engineering,School of Engineering,Bachelor's,5/15/2019,DevOps Engineer,Accenture,NE
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2025,Operations Director,Best Buy,NE
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,PR Specialist,Deloitte,MA
Middle/Secondary Education,School of Education,Bachelor's,5/15/2024,Estimator,University of St. Thomas,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,Sales Representative,KPMG,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Business Intelligence Analyst,Optum,FL
Accounting,Opus College of Business,Bachelor's,5/15/2021,Business Development Associate,Medtronic,WA
Operations Management,Opus College of Business,Bachelor's,5/15/2019,Consultant,General Mills,IL
Strategic Comm: Ad and PR,College of Arts and Sciences,Bachelor's,5/15/2021,Account Executive,Kraus-Anderson,WA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2022,HR Generalist,Target,TX
Computer Science,School of Engineering,Bachelor's,5/15/2024,Web Developer,KPMG,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2024,Analyst,Allianz,MN
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2023,Site Supervisor,Fairview,OH
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Management Consultant,Sleep Number,MA
Software Engineering,School of Engineering,Bachelor's,5/15/2024,Sales Representative,EY,ND
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Scientist,Wells Fargo,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Data Analyst,Sleep Number,ND
Computer Science,School of Engineering,Bachelor's,5/15/2022,Analytics Consultant,KPMG,NE
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Research Scientist,Land O'Lakes,NY
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2024,Public Administrator,KPMG,MA
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2021,Quantitative Analyst,Securian Financial,OH
International Business,Opus College of Business,Bachelor's,5/15/2019,Financial Analyst,Ameriprise Financial,TX
Computer Science,School of Engineering,Bachelor's,5/15/2022,Accountant,Accenture,CO
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2021,Operations Analyst,PwC,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Logistics Manager,EY,NY
Civil Engineering,School of Engineering,Bachelor's,5/15/2024,Assistant,Xcel Energy,MN
Human Resources Management,Opus College of Business,Bachelor's,5/15/2022,DevOps Engineer,Sleep Number,CA
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Team Lead,Securian Financial,ND
Economics - Business,Opus College of Business,Bachelor's,5/15/2020,UX Designer,Best Buy,FL
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Clinical Research Associate,Intel,ND
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2025,Financial Analyst,PwC,MN
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2020,Field Engineer,Abbott Laboratories,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Financial Analyst,PwC,GA
COJO Strategic Communications,College of Arts and Sciences,Bachelor's,5/15/2021,IT Analyst,Best Buy,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Civil Engineer,Polaris,ND
Human Resources Management,Opus College of Business,Bachelor's,5/15/2019,Medical Assistant,McGough Construction,GA
Computer Engineering,School of Engineering,Bachelor's,5/15/2023,DevOps Engineer,NextEra Energy,MN
Software Engineering,School of Engineering,Bachelor's,5/15/2020,Electrical Engineer,Hennepin County,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Brand Manager,Optum,CO
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2024,Education Coordinator,Boston Consulting Group,IA
Economics - Business,Opus College of Business,Bachelor's,5/15/2019,Systems Administrator,CBRE Group,MN
International Business,Opus College of Business,Bachelor's,5/15/2021,Appraiser,Deloitte,IL
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Real Estate Analyst,CBRE Group,IL
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2021,Account Executive,Accenture,MN
International Business,Opus College of Business,Bachelor's,5/15/2025,Inspector,Cargill,SD
Operations Management,Opus College of Business,Bachelor's,5/15/2021,Teaching Assistant,Accenture,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2022,Office Manager,AWS,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Web Developer,PwC,OH
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Leasing Agent,Polaris,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Inside Sales Rep,Mortenson,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Real Estate Associate,Great River Energy,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Legal Assistant,Allianz,WA
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Paralegal,Ryan Companies,IA
Accounting,Opus College of Business,Bachelor's,5/15/2025,Clinical Research Associate,Allianz,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Content Strategist,General Mills,CO
Sociology,College of Arts and Sciences,Bachelor's,5/15/2025,Legislative Aide,Minneapolis Public Schools,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2020,Creative Director,UnitedHealth Group,CA
